firstname,birthday
Roz,1982-04-13
Rosaline,1998-09-24
Ann-Marie,1974-11-09
Harmonia,1966-06-19
Georgetta,1989-12-18
Camile,1996-04-02
Fidelia,1997-08-28
Zsa Zsa,1977-09-28
Tierney,1964-12-24
Jemie,1957-06-28
Roslyn,1958-08-24
Rhea,1987-02-10
Dorene,1985-07-15
Charmaine,1993-11-24
Adore,1961-01-10
Jaime,1964-10-15
Wilma,1970-11-17
Berta,1966-07-09
Meriel,1986-11-02
Robbi,1991-11-03
Violet,1980-02-29
Jany,1986-08-16
Jillayne,1991-11-20
Tomasina,1970-02-15
Ofilia,1964-09-21
Ashlee,1954-12-22
Jenda,1961-05-28
Melina,1971-04-24
Barbi,1967-04-26
Jere,1983-04-12
Jillayne,1961-01-22
Rosene,1973-10-04
Mireielle,1959-08-19
Lizzie,1965-08-10
Michaelina,1997-01-01
Charmaine,1952-04-04
Minda,1980-02-10
Flory,1952-05-03
Ketti,1976-11-29
Ricky,1964-04-14
Adriana,1985-04-09
Trixi,1971-11-24
Jemie,1973-09-29
Siana,1997-08-28
Minda,1988-11-24
Xylina,1968-11-21
Luci,1965-10-31
Alejandra,1955-11-19
Ariela,1994-05-17
Bobinette,1954-06-12
Gerrie,1994-06-05
Angelique,1998-06-22
Jaime,1964-09-02
Camile,1997-05-07
Yolane,1984-07-10
Viki,1990-03-06
Gabi,1971-12-17
Emma,1998-09-20
Dari,1965-09-22
Linet,1980-10-07
Caressa,1954-07-01
Maryellen,1951-12-18
Cyndie,1998-10-20
Celestyna,1979-08-19
Courtnay,1985-11-08
Shandie,1992-04-25
Nanete,1977-03-23
Jaclyn,1952-03-11
Tracey,1977-12-26
Florencia,1975-05-31
Neila,1954-06-22
Berget,1980-07-07
Tani,1996-12-21
Nataline,1991-03-13
Carilyn,1995-05-03
Daune,1957-07-18
Valera,1988-10-10
Brana,1975-11-21
Cassondra,1952-09-02
Tarra,1985-03-29
Chandra,1985-10-10
Lorne,1971-11-04
Bee,1950-12-23
Clary,1976-07-12
Nita,1962-03-15
Ardys,1950-07-03
Allis,1960-11-24
Britni,1996-09-11
Misha,1981-09-01
Bobinette,1986-08-15
Kate,1976-10-18
Tiffie,1998-02-15
Stacey,1962-07-12
Adelle,1958-07-20
Babita,1963-03-10
Amii,1984-04-14
Jorry,1995-12-01
Dorothy,1997-05-03
Jessamyn,1970-12-20
Larine,1976-07-06
Kellen,1955-09-12
Fanchon,1952-06-20
Laure,1957-05-15
Olwen,1950-03-21
Concettina,1962-08-14
